TAG,SPECIES,DBH,HEIGHT,L,MAXR,X,Y,Z,UTM_X,UTM_Y
3095,TABR,8.4,4.8,2.4,2.6,294.7,234.4,374.7,581404.7,5074555.4
3096,THPL,114.5,44.5,28.3,4.7,290.1,244.7,374.9,581400.1,5074565.7
3097,TSHE,23.0,21.3,16.8,3.5,293.1,240.5,375.0,581403.1,5074561.5
3098,TSHE,5.4,6.8,3.3,2.8,291.6,244.9,374.9,581401.6,5074565.9
3099,TSHE,8.5,9.7,6.0,2.9,293.8,245.7,374.9,581403.8,5074566.7
3100,TSHE,12.4,13.1,9.2,3.1,295.1,245.2,374.8,581405.1,5074566.2
3101,TABR,19.9,8.7,5.3,3.5,295.1,249.4,374.5,581405.1,5074570.4
3104,TABR,10.9,6.0,3.4,2.7,247.4,201.3,376.7,581357.4,5074522.3
3105,TABR,11.3,6.4,3.7,2.8,244.2,200.5,376.8,581354.2,5074521.5
3107,TSHE,7.2,8.5,4.9,2.9,237.4,201.2,376.8,581347.4,5074522.2
3108,TSHE,6.5,7.8,4.2,2.9,229.6,200.2,377.2,581339.6,5074521.2
3109,TABR,11.6,6.0,3.3,2.8,227.8,201.1,377.1,581337.8,5074522.1
3110,PSME,88.8,46.9,18.8,4.9,235.0,204.2,377.0,581345.0,5074525.2
3111,TABR,13.9,7.0,4.1,3.0,225.0,204.1,377.1,581335.0,5074525.1
3112,TABR,16.0,8.0,4.9,3.1,229.4,206.2,376.9,581339.4,5074527.2
3114,PSME,126.9,53.7,26.9,5.5,228.1,213.2,377.2,581338.1,5074534.2
3115,TSHE,8.1,9.3,5.6,2.9,228.9,213.4,377.7,581338.9,5074534.4
3116,PSME,67.8,41.6,12.9,4.6,231.4,212.2,371.9,581341.4,5074533.2
3117,TABR,10.1,3.5,0.9,2.7,240.8,206.3,376.7,581350.8,5074527.3
3118,TABR,7.4,6.2,3.9,2.5,231.8,213.2,376.7,581341.8,5074534.2
3119,TABR,12.4,6.1,3.3,2.8,229.3,216.4,376.7,581339.3,5074537.4
3121,TABR,17.5,7.7,4.5,3.3,233.5,212.7,376.6,581343.5,5074533.7
3122,PSME,111.4,51.5,24.2,5.3,237.9,210.6,376.9,581347.9,5074531.6
3123,PSME,148.6,56.1,29.9,5.8,244.4,206.5,377.1,581354.4,5074527.5
3125,TABR,7.0,4.7,2.4,2.5,235.8,214.1,376.6,581345.8,5074535.1
3126,TABR,8.5,6.1,3.7,2.6,235.6,214.0,376.6,581345.6,5074535.0
3128,PSME,105.0,50.3,22.8,5.2,238.5,214.8,376.9,581348.5,5074535.8
3130,TABR,19.3,7.2,3.9,3.4,243.6,211.0,376.5,581353.6,5074532.0
3132,TSHE,36.5,29.8,24.3,4.1,229.3,223.7,376.5,581339.3,5074544.7
3133,PSME,116.7,52.3,25.2,5.3,233.6,222.7,376.6,581343.6,5074543.7
3134,TSHE,27.1,24.1,19.3,3.6,234.1,221.9,376.6,581344.1,5074542.9
3135,THPL,101.7,42.4,28.0,4.5,240.7,218.7,376.5,581350.7,5074539.7
3136,TSHE,85.7,48.3,36.8,7.3,240.4,221.6,376.4,581350.4,5074542.6
3138,TABR,6.0,3.7,1.5,2.4,243.7,217.8,376.3,581353.7,5074538.8
3139,PSME,104.1,50.2,22.6,5.1,243.3,219.8,376.5,581353.3,5074540.8
3140,TABR,15.0,6.5,3.5,3.0,246.3,215.0,376.4,581356.3,5074536.0
3141,TSHE,25.0,22.7,18.0,3.6,244.1,221.0,376.5,581354.1,5074542.0
3144,TSHE,8.1,9.3,5.6,2.9,266.3,213.8,376.1,581376.3,5074534.8
3145,TSHE,50.7,36.9,30.0,4.8,242.8,226.9,376.2,581352.8,5074547.9
3146,TABR,6.3,4.7,2.4,2.4,236.3,225.7,376.5,581346.3,5074546.7
3147,PSME,63.0,41.6,12.9,4.6,233.8,226.5,371.3,581343.8,5074547.5
3148,PSME,96.9,48.7,20.9,5.0,227.7,226.6,376.8,581337.7,5074547.6
3149,TSHE,109.6,52.9,36.7,9.0,226.8,228.5,376.7,581336.8,5074549.5
3150,TABR,7.6,5.0,2.6,2.5,231.7,230.6,376.3,581341.7,5074551.6
3151,TSHE,39.0,31.2,25.4,4.2,234.7,230.9,376.3,581344.7,5074551.9
3156,TSHE,13.4,14.0,10.0,3.1,225.7,238.2,377.0,581335.7,5074559.2
3160,TSHE,17.8,17.5,13.2,3.3,227.4,243.8,375.9,581337.4,5074564.8
3161,THPL,62.8,33.3,24.2,4.1,226.2,245.4,375.9,581336.2,5074566.4
3162,TSHE,6.7,8.0,4.4,2.9,230.0,242.8,376.1,581340.0,5074563.8
3163,TSHE,5.1,6.5,3.0,2.8,232.8,241.3,376.0,581342.8,5074562.3
3166,TSHE,54.7,38.5,31.3,5.0,236.9,238.7,376.2,581346.9,5074559.7
3167,TABR,13.1,9.1,6.3,2.9,225.8,249.2,375.5,581335.8,5074570.2
3169,TABR,34.7,11.6,7.0,5.2,236.7,244.1,375.6,581346.7,5074565.1
3171,TABR,12.4,4.5,1.7,2.8,242.2,234.4,375.8,581352.2,5074555.4
3172,TABR,7.5,5.1,2.7,2.5,247.8,229.6,375.9,581357.8,5074550.6
3173,TSHE,95.9,50.5,37.2,8.2,247.6,242.8,375.5,581357.6,5074563.8
3174,TABR,9.6,4.5,2.0,2.6,250.1,240.6,375.2,581360.1,5074561.6
3175,THPL,9.2,8.1,6.4,3.6,238.9,251.2,374.6,581348.9,5074572.2
3176,TABR,5.4,4.7,2.5,2.4,233.9,252.0,375.3,581343.9,5074573.0
3178,ABAM,80.5,46.6,21.0,3.2,225.2,250.0,375.5,581335.2,5074571.0
3179,TSHE,8.7,9.9,6.2,2.9,228.9,252.1,376.0,581338.9,5074573.1
3181,TSHE,7.3,8.6,4.9,2.9,227.0,252.9,375.4,581337.0,5074573.9
3182,TABR,14.4,4.6,1.7,3.0,226.1,253.2,375.2,581336.1,5074574.2
3183,THPL,56.5,31.2,23.0,4.0,235.1,253.3,375.2,581345.1,5074574.3
3184,TSHE,68.7,43.6,34.7,6.0,234.5,256.7,376.0,581344.5,5074577.7
3186,PSME,116.8,52.3,25.2,5.3,231.9,260.4,375.8,581341.9,5074581.4
3190,ABAM,6.9,2.8,1.0,2.0,238.1,260.1,375.2,581348.1,5074581.1
3191,TSHE,51.6,37.2,30.3,4.9,231.1,267.1,375.7,581341.1,5074588.1
3192,TSHE,26.9,24.0,19.2,3.6,226.9,273.4,376.1,581336.9,5074594.4
3193,TSHE,11.3,12.2,8.3,3.0,242.7,258.3,375.3,581352.7,5074579.3
3194,TABR,18.7,9.4,6.1,3.4,244.8,256.3,375.1,581354.8,5074577.3
3195,TABR,16.7,8.6,5.5,3.2,241.3,259.8,375.2,581351.3,5074580.8
3196,TSHE,8.9,10.1,6.3,2.9,232.8,268.9,376.0,581342.8,5074589.9
3197,TSHE,35.3,29.2,23.7,4.0,233.2,269.1,376.0,581343.2,5074590.1
3198,TABR,19.6,9.5,6.1,3.4,235.6,268.5,375.9,581345.6,5074589.5
3199,TSHE,62.8,41.6,33.4,5.6,231.4,274.0,376.0,581341.4,5074595.0
3200,THPL,11.9,9.9,7.8,3.6,230.7,274.1,376.1,581340.7,5074595.1
3201,TSHE,13.8,14.3,10.3,3.1,233.2,273.2,376.0,581343.2,5074594.2
3203,PSME,106.4,50.6,23.1,5.2,237.0,275.1,376.2,581347.0,5074596.1
3204,TSHE,66.5,42.9,34.2,5.8,238.6,270.6,376.0,581348.6,5074591.6
3205,PSME,158.2,56.9,31.0,6.0,240.0,269.0,376.1,581350.0,5074590.0
3207,TSHE,61.3,41.1,33.1,5.5,248.1,254.3,375.6,581358.1,5074575.3
3209,THPL,9.0,7.9,6.3,3.6,246.8,262.7,375.6,581356.8,5074583.7
3210,TSHE,50.6,36.8,30.0,4.8,246.2,265.7,375.8,581356.2,5074586.7
3211,TSHE,30.5,26.3,21.2,3.8,249.6,255.2,375.7,581359.6,5074576.2
3212,ABAM,5.7,1.9,0.6,1.9,245.2,272.6,375.7,581355.2,5074593.6
3213,THPL,111.2,44.0,28.2,4.7,249.1,264.1,376.1,581359.1,5074585.1
3214,PSME,131.8,54.3,27.7,5.6,246.5,275.2,375.9,581356.5,5074596.2
