tree_x,tree_y,species,dbh
581426.94,5074485.398,PSME,80.5
581429.076,5074481.684,TSHE,22.3
581426.98,5074492.864,THPL,24.5
581429.003,5074494.344,PSME,133.2
581434.245,5074474.401,TSHE,8.3
581430.419,5074487.124,CONU,5.0
581431.888,5074488.665,TABR,8.9
581432.875,5074482.263,TSHE,10.9
581433.689,5074490.875,PSME,101.3
581434.74,5074484.038,TSHE,6.5
581434.637,5074478.633,TABR,19.0
581483.447,5074496.35,TSHE,32.2
581479.328,5074496.532,ABAM,6.9
581477.635,5074496.843,ABAM,10.9
581473.935,5074496.94,ABGR,51.1
581473.08,5074496.902,TSHE,5.3
581472.201,5074496.813,TSHE,29.6
581465.746,5074496.374,TABR,10.6
581468.704,5074497.665,ABGR,27.3
581467.758,5074497.929,ABAM,5.1
581463.249,5074498.938,CONU,6.0
581463.376,5074501.393,PSME,32.7
581466.874,5074500.424,TSHE,21.9
581464.833,5074501.97,PSME,69.5
581477.448,5074498.218,ABAM,5.6
581473.983,5074499.113,TSHE,7.3
581478.386,5074498.149,ABAM,6.9
581476.111,5074499.097,ABAM,6.6
581472.243,5074501.038,PSME,88.4
581475.185,5074500.814,TSHE,15.1
581480.747,5074498.175,ABAM,5.4
581462.162,5074504.803,TABR,10.7
581461.182,5074508.276,TSHE,19.8
581464.212,5074507.505,ABAM,10.7
581467.032,5074505.922,PSME,54.5
581467.457,5074506.899,PSME,71.5
581475.449,5074502.012,TSHE,25.9
581477.654,5074501.1,ABAM,9.0
581472.254,5074505.279,ABAM,7.1
581463.542,5074511.102,TABR,21.3
581464.663,5074511.077,ABAM,6.0
581463.837,5074515.77,TSHE,82.9
581466.86,5074513.824,TABR,11.0
581469.333,5074510.973,ABAM,5.5
581474.859,5074505.742,TSHE,6.9
581469.32,5074514.132,TSHE,12.8
581469.625,5074513.829,TSHE,75.1
581464.831,5074518.047,TSHE,7.9
581474.414,5074508.6,PSME,81.7
581478.386,5074504.695,TSHE,23.9
581481.594,5074500.373,TABR,6.6
581479.991,5074502.838,TSHE,12.9
581470.903,5074516.079,TSHE,49.6
581468.952,5074520.492,PSME,62.7
581476.408,5074510.243,TSHE,5.8
581482.917,5074499.881,THPL,104.0
581482.399,5074502.148,ABAM,5.4
581480.3,5074506.335,TSHE,16.9
581478.878,5074509.508,TABR,14.3
581474.306,5074517.179,PSME,87.1
581473.402,5074518.201,TSHE,13.9
581473.315,5074518.775,PSME,52.7
581480.094,5074516.077,ABAM,13.4
581481.575,5074507.818,NA'(,30.4
581483.723,5074510.866,TSHE,39.7
581483.963,5074513.734,ABAM,8.7
581484.81,5074506.88,TSHE,16.4
581484.864,5074504.448,ABAM,6.6
581484.671,5074500.493,TSHE,6.6
581465.803,5074471.375,TSHE,40.3
581465.127,5074471.997,TSHE,85.4
581461.845,5074471.536,ABAM,6.0
581483.151,5074472.468,TSHE,76.9
581461.351,5074479.713,PSME,60.8
581466.175,5074480.269,TSHE,14.8
581465.105,5074481.219,THPL,49.9
581462.743,5074482.542,THPL,107.6
581463.615,5074482.828,TSHE,38.2
581468.635,5074480.865,TSHE,17.6
581470.669,5074480.742,TSHE,48.0
581464.001,5074486.555,TSHE,40.8
581471.998,5074481.234,TSHE,8.9
581476.079,5074478.738,TSHE,27.0
581470.91,5074483.629,TSHE,23.1
581476.323,5074479.373,TSHE,13.3
581476.875,5074479.284,TSHE,7.9
581465.249,5074489.01,PSME,56.0
581462.483,5074491.906,TSHE,86.1
581464.494,5074491.814,ABAM,5.3
581473.731,5074483.631,TSHE,8.1
581464.901,5074493.782,THPL,8.2
581464.598,5074494.32,TABR,8.0
581465.903,5074493.161,ABAM,5.8
581467.24,5074493.738,ABAM,6.0
581474.576,5074484.164,TSHE,20.8
581469.522,5074492.619,ABAM,5.8
581472.089,5074491.272,PSME,69.4
